level1_id,level2_id,source_id,article_id,strategy,title
0_adaptive,0_adaptive,0c862e6732c5a41a,0,adaptive,Article synthétique ID 0
0_confidence_weighted,0_confidence_weighted,0c862e6732c5a41a,0,confidence_weighted,Article synthétique ID 0
1_adaptive,1_adaptive,89580b321df35a6a,1,adaptive,"Almost a third of people in Gaza not eating for days, UN food programme warns"
1_confidence_weighted,1_confidence_weighted,89580b321df35a6a,1,confidence_weighted,"Almost a third of people in Gaza not eating for days, UN food programme warns"
2_adaptive,2_adaptive,36e1a50865a65b52,2,adaptive,"'I witnessed war crimes' in Gaza, former worker at GHF aid site tells BBC"
2_confidence_weighted,2_confidence_weighted,36e1a50865a65b52,2,confidence_weighted,"'I witnessed war crimes' in Gaza, former worker at GHF aid site tells BBC"
3_adaptive,3_adaptive,0a555c36f5fbedf6,3,adaptive,Thailand warns clashes with Cambodia could 'move towards war'
3_confidence_weighted,3_confidence_weighted,0a555c36f5fbedf6,3,confidence_weighted,Thailand warns clashes with Cambodia could 'move towards war'
4_adaptive,4_adaptive,72687c4664f0425b,4,adaptive,School-leavers losing their lives for Russia in Putin's war with Ukraine
4_confidence_weighted,4_confidence_weighted,72687c4664f0425b,4,confidence_weighted,School-leavers losing their lives for Russia in Putin's war with Ukraine
5_adaptive,5_adaptive,09da9397c8247ed8,5,adaptive,Taiwan holds controversial vote targeting 'pro-China' lawmakers
5_confidence_weighted,5_confidence_weighted,09da9397c8247ed8,5,confidence_weighted,Taiwan holds controversial vote targeting 'pro-China' lawmakers
6_adaptive,6_adaptive,0590c9fd6d5d779e,6,adaptive,World's thirst for matcha dries up global supplies
6_confidence_weighted,6_confidence_weighted,0590c9fd6d5d779e,6,confidence_weighted,World's thirst for matcha dries up global supplies
7_adaptive,7_adaptive,2e5d424af642656f,7,adaptive,Pro-Palestinian convict freed by France after 41 years
7_confidence_weighted,7_confidence_weighted,2e5d424af642656f,7,confidence_weighted,Pro-Palestinian convict freed by France after 41 years
8_adaptive,8_adaptive,4545a3e73854234a,8,adaptive,"Southwest flight plummets, injuring flight attendants"
8_confidence_weighted,8_confidence_weighted,4545a3e73854234a,8,confidence_weighted,"Southwest flight plummets, injuring flight attendants"
9_adaptive,9_adaptive,c0b9d27bbaa29e21,9,adaptive,UK condemns Hong Kong cash offer for help in arresting activists
9_confidence_weighted,9_confidence_weighted,c0b9d27bbaa29e21,9,confidence_weighted,UK condemns Hong Kong cash offer for help in arresting activists
10_adaptive,10_adaptive,5bce4475862ed1f9,10,adaptive,"Meeting over between US official and Ghislane  Maxwell, who will 'welcome any relief', lawyer says"
10_confidence_weighted,10_confidence_weighted,5bce4475862ed1f9,10,confidence_weighted,"Meeting over between US official and Ghislane  Maxwell, who will 'welcome any relief', lawyer says"
11_adaptive,11_adaptive,a55934d4ef922836,11,adaptive,Watch: Trump jokes he wants Powell to lower interest rates in tense exchange
11_confidence_weighted,11_confidence_weighted,a55934d4ef922836,11,confidence_weighted,Watch: Trump jokes he wants Powell to lower interest rates in tense exchange
12_adaptive,12_adaptive,461e0a8c5eb56c46,12,adaptive,Woman in viral Coldplay concert clip resigns from executive role
12_confidence_weighted,12_confidence_weighted,461e0a8c5eb56c46,12,confidence_weighted,Woman in viral Coldplay concert clip resigns from executive role
13_adaptive,13_adaptive,fecc42217ea92412,13,adaptive,Tee time with Trump - striking balls and deals over 18 holes
13_confidence_weighted,13_confidence_weighted,fecc42217ea92412,13,confidence_weighted,Tee time with Trump - striking balls and deals over 18 holes
14_adaptive,14_adaptive,e87d8f1639f5afd5,14,adaptive,​​What is inside the GHF food aid box being distributed in Gaza?
14_confidence_weighted,14_confidence_weighted,e87d8f1639f5afd5,14,confidence_weighted,​​What is inside the GHF food aid box being distributed in Gaza?
15_adaptive,15_adaptive,a4cb3a806304a2fe,15,adaptive,"Thais and Cambodians slug it out on social media, as border tensions flare"
15_confidence_weighted,15_confidence_weighted,a4cb3a806304a2fe,15,confidence_weighted,"Thais and Cambodians slug it out on social media, as border tensions flare"
16_adaptive,16_adaptive,9cd674aa7b0d859c,16,adaptive,Artist explores the toxic mining legacy of Zambia's 'black mountains'
16_confidence_weighted,16_confidence_weighted,9cd674aa7b0d859c,16,confidence_weighted,Artist explores the toxic mining legacy of Zambia's 'black mountains'
17_adaptive,17_adaptive,ff43903241bfe43a,17,adaptive,French pledge to recognise Palestine is a gamble - so will Starmer follow suit?
17_confidence_weighted,17_confidence_weighted,ff43903241bfe43a,17,confidence_weighted,French pledge to recognise Palestine is a gamble - so will Starmer follow suit?
18_adaptive,18_adaptive,4dbccbbb7ebe01f5,18,adaptive,How Epstein case is tearing apart Maga's online conspiracy wing
18_confidence_weighted,18_confidence_weighted,4dbccbbb7ebe01f5,18,confidence_weighted,How Epstein case is tearing apart Maga's online conspiracy wing
19_adaptive,19_adaptive,7e21dcf6f2e9a9c4,19,adaptive,'I'm so tired': Mother of starving Gazan baby speaks to BBC
19_confidence_weighted,19_confidence_weighted,7e21dcf6f2e9a9c4,19,confidence_weighted,'I'm so tired': Mother of starving Gazan baby speaks to BBC
20_adaptive,20_adaptive,6d857e010b72ceb7,20,adaptive,'All the people are hungry': Voices from Gaza on desperate lack of food
20_confidence_weighted,20_confidence_weighted,6d857e010b72ceb7,20,confidence_weighted,'All the people are hungry': Voices from Gaza on desperate lack of food
21_adaptive,21_adaptive,008cc26d81dd633b,21,adaptive,Watch: Protesters pack Tel Aviv square to demand Gaza ceasefire
21_confidence_weighted,21_confidence_weighted,008cc26d81dd633b,21,confidence_weighted,Watch: Protesters pack Tel Aviv square to demand Gaza ceasefire
22_adaptive,22_adaptive,3e6b976943164224,22,adaptive,Watch: Man dons bear costume in Japanese Police animal attack drill
22_confidence_weighted,22_confidence_weighted,3e6b976943164224,22,confidence_weighted,Watch: Man dons bear costume in Japanese Police animal attack drill
23_adaptive,23_adaptive,1513e5c48872c7b7,23,adaptive,Top 10 AI Tools That Will Transform Your Content Creation in 2025
23_confidence_weighted,23_confidence_weighted,1513e5c48872c7b7,23,confidence_weighted,Top 10 AI Tools That Will Transform Your Content Creation in 2025
24_adaptive,24_adaptive,30b59fad542d9cd6,24,adaptive,"LimeWire AI Studio Review 2023: Details, Pricing & Features"
24_confidence_weighted,24_confidence_weighted,30b59fad542d9cd6,24,confidence_weighted,"LimeWire AI Studio Review 2023: Details, Pricing & Features"
25_adaptive,25_adaptive,efb6f87d9e44632e,25,adaptive,Top 10 AI Tools in 2023 That Will Make Your Life Easier
25_confidence_weighted,25_confidence_weighted,efb6f87d9e44632e,25,confidence_weighted,Top 10 AI Tools in 2023 That Will Make Your Life Easier
26_adaptive,26_adaptive,dcbcafb254cf39f0,26,adaptive,Top 10 AI Content Generator & Writer Tools in 2022
26_confidence_weighted,26_confidence_weighted,dcbcafb254cf39f0,26,confidence_weighted,Top 10 AI Content Generator & Writer Tools in 2022
27_adaptive,27_adaptive,c23802b762d33311,27,adaptive,Beginner Guide to CJ Affiliate (Commission Junction) in 2022
