summary_id,tier,is_valid,validation_confidence,grade_score,coherence_score,factuality_score,issues_count,processing_time_ms,justification,original_grade,production_ready,level3_priority_final,source_id
9_adaptive,CRITICAL,False,0.1,0.2,0.0960426330566406,0.7991381883621216,2,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,c0b9d27bbaa29e21
13_adaptive,CRITICAL,False,0.2374944043159485,0.2,0.3385048985481262,0.994139850139618,1,0.0,Grade D - requires ML validation,D,True,0.95,fecc42217ea92412
22_adaptive,MODERATE,False,0.7999999999999999,0.6,1.0,0.5475156903266907,3,0.0,Grade B non production ready - traitement ML élevé,B,False,0.75,3e6b976943164224
23_adaptive,CRITICAL,False,0.1083521854877472,0.2,0.097365864767478,0.961173951625824,1,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,1513e5c48872c7b7
37_adaptive,CRITICAL,False,0.1,0.2,0.0838055736607029,0.4729487299919128,0,0.0,Grade D - requires ML validation,D,True,1.0,ca9d74420c3403c6
44_adaptive,CRITICAL,False,0.1,0.2,0.226674094429157,0.8344650864601135,0,0.0,Grade D - requires ML validation,D,True,1.0,610004a7830078a4
54_adaptive,CRITICAL,False,0.12,0.2,0.1040031760931015,1.0,1,0.0,Grade D - requires ML validation,D,True,0.98,d0ce8501d6bea224
55_adaptive,CRITICAL,False,0.12,0.2,0.1648215651512146,1.0,1,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,6ad584baee3e5434
57_adaptive,CRITICAL,False,0.12,0.2,0.147315427660942,1.0,0,0.0,Grade D - requires ML validation,D,True,0.98,6f59a7955c7c4b10
68_adaptive,CRITICAL,False,0.1307198703289032,0.2,0.3614397406578064,0.4470188319683075,0,0.0,Grade D - requires ML validation,D,True,0.969,2da8feefe2ab36b9
77_adaptive,CRITICAL,False,0.1199999821186065,0.2,0.0181165495660246,0.9999999403953552,0,0.0,Grade D - requires ML validation,D,True,0.98,079d1e666f0a9185
80_adaptive,MODERATE,False,0.9,0.7,1.0,0.5769590139389038,1,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,2e04f86309b1c1a9
88_adaptive,CRITICAL,False,0.2091194824188474,0.2,0.3156939394890315,0.9375750422477722,2,0.0,Grade D - requires ML validation,D,True,0.95,a40f253f02938458
107_adaptive,CRITICAL,False,0.12,0.2,0.0589774213731288,1.0,0,0.0,Grade D - requires ML validation,D,True,0.98,86ed15eb33588d32
125_adaptive,CRITICAL,False,0.1,0.2,0.1792868459224701,0.8493684530258179,0,1.0018348693847656,Grade D - requires ML validation,D,True,1.0,b389db4ec28884a7
127_adaptive,CRITICAL,False,0.1,0.2,0.0427785050766221,0.8856436014175415,0,0.0,Grade D - requires ML validation,D,True,1.0,0b488a9b19eada6b
132_adaptive,CRITICAL,False,0.2374944043159485,0.2,0.3385048985481262,0.994139850139618,1,0.0,Grade D - requires ML validation,D,True,0.95,78350a8803037c44
144_adaptive,CRITICAL,False,0.12,0.2,0.147315427660942,1.0,0,0.0,Grade D - requires ML validation,D,True,0.98,e6f76679684a9086
147_adaptive,CRITICAL,False,0.12,0.2,0.1040031760931015,1.0,1,0.0,Grade D - requires ML validation,D,True,0.98,e6564e4511d975f9
155_adaptive,CRITICAL,False,0.2091194824188474,0.2,0.3156939394890315,0.9375750422477722,2,0.0,Grade D - requires ML validation,D,True,0.95,61d596e29bd4b14a
160_adaptive,CRITICAL,False,0.1,0.2,0.226674094429157,0.8344650864601135,0,0.0,Grade D - requires ML validation,D,True,1.0,6568364a4f7fbda8
166_adaptive,CRITICAL,False,0.12,0.2,0.1648215651512146,1.0,1,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,9b3f1b1ab89f027c
171_adaptive,CRITICAL,False,0.1,0.2,0.0960426330566406,0.7991381883621216,2,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,f86a025051ba7281
182_adaptive,CRITICAL,False,0.1083521854877472,0.2,0.097365864767478,0.961173951625824,1,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,2d93580017c5f706
6_confidence_weighted,MODERATE,False,0.8598385190963744,0.7,0.6464282115869018,0.666128396987915,5,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,0590c9fd6d5d779e
66_confidence_weighted,MODERATE,False,0.7510791524884272,0.6,0.5206489675516225,0.8691822290420532,6,0.0,Grade B non production ready - traitement ML élevé,B,False,0.75,04b3e43e6463dd21
112_confidence_weighted,CRITICAL,False,0.1629447992810784,0.2,0.3111251418131946,0.891274094581604,4,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,d56c177562711942
161_confidence_weighted,MODERATE,False,0.7510791524884272,0.6,0.5206489675516225,0.8691822290420532,6,0.0,Grade B non production ready - traitement ML élevé,B,False,0.75,619f4cf2b1395245
168_confidence_weighted,MODERATE,False,0.8598385190963744,0.7,0.6464282115869018,0.666128396987915,5,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,64f219af63d28f29
0_confidence_weighted,MODERATE,False,0.9007769930362702,0.7,0.6742194616977225,0.9025899767875672,6,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,0c862e6732c5a41a
1_confidence_weighted,MODERATE,False,0.9524178957939148,0.7,0.6844615384615385,0.9747263193130492,5,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,89580b321df35a6a
2_confidence_weighted,MODERATE,False,0.9673879945278168,0.7,0.6843982683982685,0.924626648426056,4,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,36e1a50865a65b52
3_confidence_weighted,MODERATE,False,0.9120409047603606,0.7,0.6408878923766815,0.8401363492012024,5,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,0a555c36f5fbedf6
4_confidence_weighted,MODERATE,False,0.9749277913570404,0.7,0.6840434782608695,0.949759304523468,4,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,72687c4664f0425b
5_confidence_weighted,MODERATE,False,0.913939290046692,0.7,0.6776292134831461,0.9464643001556396,6,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,09da9397c8247ed8
7_confidence_weighted,CRITICAL,False,0.1,0.2,0.3016747270187687,0.8915548324584961,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,2e5d424af642656f
8_confidence_weighted,CRITICAL,False,0.1,0.2,0.3286540308094263,0.8446868658065796,6,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,4545a3e73854234a
9_confidence_weighted,MODERATE,False,0.9058420443534853,0.7,0.6502446043165468,0.7194734811782837,4,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,c0b9d27bbaa29e21
10_confidence_weighted,MODERATE,False,0.8962094521522521,0.7,0.6534874371859297,0.7873648405075073,5,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,5bce4475862ed1f9
11_confidence_weighted,MODERATE,False,0.8903544831275941,0.7,0.6837837837837838,0.86784827709198,6,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,a55934d4ef922836
12_confidence_weighted,CRITICAL,False,0.166808764112662,0.2,0.3978944309009528,0.8595384955406189,5,0.0,Grade D non production ready - traitement ML critique,D,False,1.0,461e0a8c5eb56c46
13_confidence_weighted,MODERATE,False,0.9541268312931062,0.7,0.6854080996884735,0.8804227709770203,4,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,fecc42217ea92412
14_confidence_weighted,CRITICAL,False,0.4585685718496793,0.4,0.4806069541851986,0.9275503158569336,4,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,e87d8f1639f5afd5
15_confidence_weighted,MODERATE,False,0.8847560155391693,0.7,0.634423645320197,0.8491867184638977,6,0.0,Grade B+ non production ready - traitement ML élevé,B+,False,0.75,a4cb3a806304a2fe
16_confidence_weighted,CRITICAL,False,0.3470788849680076,0.4,0.4009624769863387,0.8886588215827942,6,0.0,Grade C non production ready - traitement ML critique,C,False,1.0,9cd674aa7b0d859c
